epoch,phase,train_loss,train_acc,val_loss,val_acc,lr
1,phase1,2.303510929922989,0.1406423034330011,2.318585231240872,0.11504424778761062,0.0003
2,phase1,2.2458471942977654,0.15282392026578073,2.2849610632499764,0.14601769911504425,0.0003
3,phase1,2.162792288715789,0.20930232558139536,2.246608354349052,0.22566371681415928,0.0003
4,phase1,2.1265761725530274,0.2502768549280177,2.1911888143657583,0.23008849557522124,0.0003
5,phase1,2.088300267195253,0.26799557032115173,2.153209074408607,0.26548672566371684,0.0003
6,phase2,1.9990032737041232,0.3078626799557032,1.846995581567815,0.34513274336283184,0.0003
7,phase2,1.577180798927679,0.4739756367663344,1.831763710595865,0.35398230088495575,0.0003
8,phase2,1.294860844068221,0.574750830564784,1.7726619823844032,0.40707964601769914,0.0003
9,phase2,0.9931818792722286,0.6699889258028793,1.832471836984685,0.41150442477876104,0.0003
10,phase2,0.7694948211988869,0.7530454042081949,1.8003454419363916,0.4778761061946903,0.0003
11,phase2,0.6243530942224057,0.8006644518272426,1.9367720880339632,0.42920353982300885,0.0003
12,phase2,0.5367502292261304,0.8349944629014396,1.8948295781042723,0.4557522123893805,2.9999999999999997e-05
13,phase2,0.35034318131333836,0.9080841638981174,1.7645389168663363,0.46017699115044247,2.9999999999999997e-05
14,phase2,0.2635347050091753,0.937984496124031,1.751677575364577,0.4911504424778761,2.9999999999999997e-05
15,phase2,0.22511727680531582,0.9534883720930233,1.726252584594541,0.5221238938053098,2.9999999999999997e-05
16,phase2,0.19456648125270937,0.9601328903654485,1.757449639582001,0.4778761061946903,2.9999999999999997e-05
17,phase2,0.18161942601071904,0.9700996677740864,1.7264832026135606,0.4911504424778761,2.9999999999999997e-05
18,phase2,0.14499887035270598,0.9778516057585825,1.7434524171120298,0.4778761061946903,2.9999999999999997e-05
19,phase2,0.14208385011682478,0.9745293466223699,1.7163434105109325,0.4911504424778761,2.9999999999999997e-05
20,phase2,0.14279807643636913,0.9712070874861573,1.7629580595324525,0.5265486725663717,2.9999999999999997e-05
